Player,Team,PPG,PPG_L10
Mercy Miller,Houston,4.8,5.8
Cale Jacobsen,Nebraska,4.8,5.8
Kareem Stagg,Georgia,4.8,6.4
Gicarri Harris,Purdue,4.8,3.0
Jonathan Powell,North Carolina,4.8,4.9
Nate Heise,Iowa State,4.7,3.5
Victory Onuetu,Hofstra,4.7,3.5
Jack Benter,Purdue,4.7,4.1
Luke Bamgboye,Texas Tech,4.7,4.9
Nick Pringle,Arkansas,4.7,2.9
Ahmad Nowell,VCU,4.7,1.2
Jayden Ross,UConn,4.7,5.2
Carmelo Pacheco,UCF,4.7,3.2
Josiah Moseley,Texas Tech,4.6,4.8
Jace Posey,TCU,4.6,0.5
Jermaine O'Neal Jr.,SMU,4.6,4.3
Abijah Franklin,Furman,4.6,2.9
Liam Campbell,Saint Mary's,4.6,2.6
Brandon Garrison,Kentucky,4.6,4.7
Elijah Perryman,Utah State,4.6,3.0
Dominykas Pleta,Iowa State,4.5,4.4
Alex Bruskotter,Wright State,4.5,4.0
Alyn Breed,NC State,4.5,3.0
Jordan Muller,Cal Baptist,4.5,2.0
Timotej Malovec,Miami,4.5,2.2
Josh Holloway,Texas A&M,4.5,3.0
Jaylin Stewart,UConn,4.5,1.5
Taison Chatman,Ohio State,4.5,5.7
Jordan Tillery,VCU,4.5,2.0
Dylan James,Georgia,4.5,3.8
Jalil Bethea,Alabama,4.4,2.9
Isaiah Jones,South Florida,4.4,6.5
Malachi Palmer,Villanova,4.4,5.9
Devin Tillis,Virginia,4.3,2.6
Daimion Collins,South Florida,4.3,2.4
Devin Ceaser,UMBC,4.3,
Christian Jones,Siena,4.3,1.6
Riley Jacobs,UMBC,4.3,4.9
Aleksej Kostic,BYU,4.2,7.3
Amari Evans,Tennessee,4.2,5.2
Carl Cherenfant,McNeese State,4.2,3.0
Justin Bailey,Georgia,4.2,2.6
Micah Handlogten,Florida,4.1,2.9
Kyan Evans,North Carolina,4.1,1.9
Peter Kramer,Lehigh,4.1,4.1
Dwayne Aristode,Arizona,4.1,1.8
Jaeden Roberts,Hofstra,4.1,0.7
Allen Strothers,Tennessee State,4.1,4.0
Jay Jones,Penn,4.0,5.2
Chase McCarty,Houston,4.0,5.8
Will Tschetter,Michigan,4.0,1.5
Brendan Hausen,Iowa,4.0,2.2
Milton Matthews III,Tennessee State,4.0,3.4
Jalen Vazquez,Lehigh,3.9,6.4
Jamar Brown,UCLA,3.9,1.0
Kerrington Kiel,Troy,3.9,3.9
Danas Kazakevicius,Howard,3.9,0.9
Terrance Arceneaux,NC State,3.9,3.3
Ruben Prey,St. John's,3.9,4.4
Kyle Pock,Northern Iowa,3.8,2.6
Noam Dovrat,Miami,3.8,5.6
Isaiah Henderson,Siena,3.8,3.8
Riley Mulvey,Siena,3.8,4.9
Isiah Harwell,Houston,3.8,1.1
Miles Klapper,Idaho,3.8,4.3
Cade Phillips,Tennessee,3.8,
Trey Fort,Michigan State,3.8,3.5
Chandler Bing,Vanderbilt,3.7,5.9
Tyeree Bryan,Texas Tech,3.7,1.8
Trevon Blassingame,Idaho,3.7,4.6
Dominick Nelson,Iowa State,3.7,1.2
Cougar Downing,UMBC,3.7,3.5
Adriel Nyorha,South Florida,3.7,0.3
Austin Cross,Troy,3.7,3.7
Darren Harris,Duke,3.7,4.3
Emil Skytta,North Dakota State,3.7,3.0
Gavin Hightower,South Florida,3.7,4.2
George Beale Jr.,UCF,3.7,4.1
Keitenn Bristow,Alabama,3.6,
Peitok Machar,McNeese State,3.6,3.2
Trevin Jirak,Iowa,3.6,3.3
Amaree Abram,Tennessee,3.5,0.5
Kayden Edwards,TCU,3.5,
Isaiah Sutherland,Tennessee State,3.5,4.3
Malachi Smith,UConn,3.5,2.5
Jeremy Foumena,UCF,3.5,1.6
Jamari McDowell,Kansas,3.5,2.9
Zach Keller,Utah State,3.5,5.1
Keyshawn Mitchell,VCU,3.4,1.0
Bryan Etumnu,Wright State,3.4,0.0
Jamie Vinson,Texas A&M,3.4,1.3
Zayden High,North Carolina,3.4,7.3
Tucker Anderson,Utah State,3.4,4.7
Gabe Sisk,Tennessee State,3.4,2.0
Tony Duckett,Saint Mary's,3.3,2.2
Isaiah Sealy,Arkansas,3.3,0.7
Kohl Rosario,Kansas,3.3,2.4
Kobe Rodgers,Louisville,3.3,1.9
Devin Haid,South Florida,3.3,1.0
Chabi Barre,Akron,3.3,0.0
Davion Hannah,Alabama,3.3,
A.J. Wills,Hofstra,3.2,2.0
Aly Khalifa,Louisville,3.2,2.1
Chris Jeffrey,Villanova,3.2,2.7
Jared Garcia,Nebraska,3.1,2.5
Tyler Robbins,Miami (OH),3.1,0.1
Mihailo Boškovic,BYU,3.1,2.5
Carson Smith,North Dakota State,3.1,1.5
Lucas Lueth,Penn,3.1,4.2
Ismael Diouf,Northern Iowa,3.1,1.1
Perry Smith Jr.,Kennesaw State,3.1,1.9
Lefteris Liotopoulos,St. John's,3.1,2.1
Luke Northweather,Missouri,3.1,
Mason Smith,Furman,3.0,
Trent Noah,Kentucky,3.0,1.1
Kyle Waltz,Miami (OH),3.0,0.0
Sam Alamutu,Wright State,2.9,1.3
Winters Grady,Michigan,2.9,
RJ Jones,TCU,2.9,
Tafara Gapare,Villanova,2.9,
Collin O'Neal,Furman,2.9,1.0
Jax Kerr,Saint Louis,2.9,1.5
Justin Abson,Georgia,2.9,2.6
Caden Miller,High Point,2.8,0.6
Josh Ibukunoluwa,High Point,2.8,0.0
Caleb Sanders,South Florida,2.8,
Owen Schlager,Siena,2.8,
Isaiah Brown,Howard,2.8,2.6
Hassane Diallo,Prairie View,2.8,2.3
Xavier Brown,South Florida,2.7,
Zach Halligan,Akron,2.7,2.2
Annor Boateng,Missouri,2.7,
RJ Taylor,Northern Iowa,2.7,3.9
Brandon Williams,UCLA,2.7,3.1
Ivan Njegovan,Ohio State,2.7,2.3
Rene D'Amelio,Cal Baptist,2.6,1.0
Tristan Beckford,South Florida,2.6,1.4
Ethan Burg,Tennessee,2.6,2.9
Elijah Mitchell,Prairie View,2.5,5.2
Yanis Ndjonga,McNeese State,2.5,1.6
William Kruse,Penn,2.5,
Sam Walters,SMU,2.5,2.0
Rory Hawke,Saint Mary's,2.5,2.2
Kalifa Sakho,Houston,2.5,3.2
Ramon Walker Jr.,Houston,2.5,0.6
Evan Griffin,Troy,2.4,1.5
Leon Horner,Texas Tech,2.4,1.9
Miles Daniels,Cal Baptist,2.4,2.1
Ognjen Stankovic,Akron,2.4,1.0
Nate Garcia,Cal Baptist,2.4,1.0
Musa Sagnia,NC State,2.4,1.1
Jesse McCulloch,Michigan State,2.4,0.3
Liam Murphy,Purdue,2.3,0.0
Jannoy Thomas,Prairie View,2.3,0.8
Vangelis Zougris,Louisville,2.3,3.0
Chase Thompson,Clemson,2.3,2.7
Babacar Diallo,High Point,2.3,0.0
Khadim Mboup,BYU,2.3,2.3
Kasean Pryor,Louisville,2.3,0.6
Joshua Aaron Reaves,Hofstra,2.3,1.9
Puff Johnson,Ohio State,2.3,2.3
Eric Freeny,UCLA,2.2,3.4
Jack Janicki,Wisconsin,2.2,2.5
Mantas Juzenas,Saint Mary's,2.2,3.7
Dallas Thomas,Clemson,2.2,1.6
Paul Greene,UMBC,2.1,1.0
